name,yomi_kana,yomi_romaji,yomi_source,gym,orgs,source_urls
フランチェスコ・カルボッティ,フランチェスコ・カルボッティ,,published_kana,Authentic Gym/ST FIGHT MANAGEMENT,K-1 WORLD GP,https://www.k-1.co.jp/fighter/1767
古田太一,フルタ タイチ,,published_kana,,,https://ja.wikipedia.org/wiki/古田太一|https://www.k-1.co.jp/fighter/817
古田 恭人,フルタ ヤスヒト,Furuta Yasuhito,published_kana,,K-1,https://www.k-1.co.jp/fighter/453
古宮 晴,フルミヤ ハル,Furumiya Haru,published_kana,team VASILEUS,K-1 WORLD GP|Krush|Krush-EX,https://www.k-1.co.jp/fighter/1067
古谷あさみ,フルヤ アサミ,,published_kana,,,https://ja.wikipedia.org/wiki/古谷あさみ
フレッド・マトス,フレッド・マトス,,published_kana,,K-1,https://www.k-1.co.jp/fighter/374
フレディ・ケマイヨ,フレディ・ケマイヨ,,published_kana,,,https://ja.wikipedia.org/wiki/フレディ・ケマイヨ
フローリン・イヴァノアイエ,フローリン・イヴァノアイエ,,published_kana,M Box Timisoara,K-1,https://www.k-1.co.jp/fighter/1501
フンダ・アルカイエス,フンダ・アルカイエス,,published_kana,Alkayis Gym,K-1 WORLD GP,https://www.k-1.co.jp/fighter/1341
フー・ガオフォン,フー・ガオフォン,,published_kana,明輝ジム/CFP,K-1,https://www.k-1.co.jp/fighter/882
ブアカーオ・ウィラサクレック,ブアカーオ・ウィラサクレック,,published_kana,,,https://ja.wikipedia.org/wiki/ブアカーオ・ウィラサクレック
ブアカーオ・バンチャメーク,ブアカーオ・バンチャメーク,,published_kana,Banchamek Gym,K-1 WORLD GP,https://www.k-1.co.jp/fighter/1488
ブアカーオ・ポー.プラムック,ブアカーオ・ポー.プラムック,,published_kana,,,https://ja.wikipedia.org/wiki/ブアカーオ・ポー.プラムック
ブハリ亜輝留,ブハリ アキール,Bukhari Aqil,published_kana,WSRフェアテックス幕張,K-1 WORLD GP|Krush|Krush-EX,https://www.k-1.co.jp/fighter/1079
ブバイサ・パスハエフ,ブバイサ・パスハエフ,,published_kana,,K-1,https://www.k-1.co.jp/fighter/776
ブバッカ・エル・バクーリ,ブバッカ・エル・バクーリ,,published_kana,Siam Gym,K-1,https://www.k-1.co.jp/fighter/911
ブライアン・ガビオ,ブライアン・ガビオ,,published_kana,アルゼンチン,KNOCK OUT,https://knockoutkb.com/fighters/braian_gavio_318
ブライアン・ダウヴィス,ブライアン・ダウヴィス,,published_kana,,,https://ja.wikipedia.org/wiki/ブライアン・ダウヴィス
ブライアン・ミクグラス,ブライアン・ミクグラス,,published_kana,上州松井ジム,K-1,https://www.k-1.co.jp/fighter/901
ブライアン・ラング,ブライアン・ラング,,published_kana,CRISTAL BOXING CLUB,K-1 WORLD GP,https://www.k-1.co.jp/fighter/1615
ブラックドラゴン,ブラックドラゴン,,published_kana,Blackdragon/Tiger Muay Thai,K-1,https://www.k-1.co.jp/fighter/864
ブラックマンバ,ブラックマンバ,,published_kana,,,https://ja.wikipedia.org/wiki/ブラックマンバ_(格闘家)
ブランコ・シカティック,ブランコ・シカティック,,published_kana,,,https://ja.wikipedia.org/wiki/ブランコ・シカティック
ブランドン・スぺイン,ブランドン・スぺイン,Brandon Spain,published_kana,Spain’s Muay Thai Gym,K-1,https://www.k-1.co.jp/fighter/1009
ブリース・ギドン,ブリース・ギドン,,published_kana,,,https://ja.wikipedia.org/wiki/ブリース・ギドン
ブリース・デルバール,ブリース・デルバール,,published_kana,,K-1,https://www.k-1.co.jp/fighter/742
ブレイク・トループ,ブレイク・トループ,,published_kana,EYR Division Blackhouse MMA,K-1 WORLD GP,https://www.k-1.co.jp/fighter/1664
ブレクト・ウォリス,ブレクト・ウォリス,,published_kana,,,https://ja.wikipedia.org/wiki/ブレクト・ウォリス
ブンロン・ペッティンディーアカデミー,ブンロン・ペッティンディーアカデミー,,published_kana,ペッティンディーアカデミー,RISE,https://rise-rc.com/fighter/boonlhong-petchyindeeacademy/
プライチュンポン・ソー.シーソムポン,プライチュンポン・ソー.シーソムポン,,published_kana,GTジム,K-1,https://www.k-1.co.jp/fighter/1145
プレストン・テ・モニ,プレストン・テ・モニ,,published_kana,ETK Gym,K-1 WORLD GP,https://www.k-1.co.jp/fighter/1752
プンルアン・バーンランバー,プンルアン・バーンランバー,,published_kana,タイ,KNOCK OUT,https://knockoutkb.com/fighters/pungluang_banramba_412
プードゥアン・コマンドジム,プードゥアン・コマンドジム,,published_kana,タイ/サックチャムニジム,KNOCK OUT,https://knockoutkb.com/fighters/phuduan_commando_gym_546
ヘスディ・カラケス,ヘスディ・カラケス,,published_kana,,,https://ja.wikipedia.org/wiki/ヘスディ・カラケス
へリアジル・エステファニ,ヘリアジル・エステファニ,Heliazir Estefani,published_kana,Ponto 1 Fight,K-1 WORLD GP,https://www.k-1.co.jp/fighter/1625
ヘルマン・タブエンカ,ヘルマン・タブエンカ,,published_kana,,K-1,https://www.k-1.co.jp/fighter/251
ベイリー・サグデン,ベイリー・サグデン,,published_kana,Suggys Gym,K-1,https://www.k-1.co.jp/fighter/1301
ベジム・カバシ,ベジム・カバシ,,published_kana,,,https://ja.wikipedia.org/wiki/ベジム・カバシ
ベセラ・ロガスカ,ベセラ・ロガスカ,,published_kana,DIAMOND CAMP,K-1,https://www.k-1.co.jp/fighter/1573
ベニー紅,ベニー クレナイ,,published_kana,,,https://ja.wikipedia.org/wiki/ベニー紅
ベニー・ユキーデ,ベニー・ユキーデ,,published_kana,,,https://ja.wikipedia.org/wiki/ベニー・ユキーデ
ベルジャン・ペポシ,ベルジャン・ペポシ,,published_kana,Valon team,RISE,https://rise-rc.com/fighter/berjan_peposhi/
ベルナール・アッカ,ベルナール・アッカ,,published_kana,,,https://ja.wikipedia.org/wiki/ベルナール・アッカ
ベロニカ・ロドリゲス,ベロニカ・ロドリゲス,,published_kana,Thai Rooster Team,K-1 WORLD GP,https://www.k-1.co.jp/fighter/1689
ベン・エドワーズ,ベン・エドワーズ,,published_kana,,,https://ja.wikipedia.org/wiki/ベン・エドワーズ
ペッカデイ・クンクメール,ペッカデイ・クンクメール,,published_kana,カンボジア,KNOCK OUT,https://knockoutkb.com/fighters/pheakdey_kunkhmer_86
